month,store_id,product_id,opening_stock,received_qty,sold_qty,closing_stock,stockout_flag,month_num,sales_qty,lost_sales_qty,promo_flag,corrected_demand,category,brand,cluster,store_type,lag_1,lag_2,rolling_mean_3,rolling_std_3
2020-08-01,1,24,382,0,136,246,0,8,17.0,17.0,0,153.0,Staples,Fortune,4,Kirana,185.0,110.0,149.33333333333334,37.634204300520736
2020-08-01,1,25,293,287,234,346,0,8,9.0,9.0,0,243.0,Snacks,Haldirams,4,Kirana,344.0,201.0,262.6666666666667,73.50056689123788
2020-09-01,1,25,218,387,218,387,1,9,12.0,12.0,1,230.0,Snacks,Haldirams,4,Kirana,243.0,344.0,272.3333333333333,62.40459384799593
2020-10-01,1,25,391,440,278,553,0,10,31.0,31.0,0,309.0,Snacks,Haldirams,4,Kirana,230.0,243.0,260.6666666666667,42.35957192103494
2019-10-01,1,26,326,0,134,192,0,10,13.0,13.0,0,147.0,Dairy,Nandini,4,Kirana,113.0,296.0,185.33333333333334,97.3361871727742
2020-04-01,1,27,357,211,299,269,0,4,11.0,11.0,0,310.0,Biscuits,Sunfeast,4,Kirana,189.0,266.0,255.0,61.24540799113024
2019-08-01,1,28,348,0,205,143,0,8,6.0,6.0,0,211.0,Staples,Aashirvaad,4,Kirana,123.0,215.0,183.0,52.0
2020-11-01,1,28,157,356,157,356,1,11,42.0,42.0,1,199.0,Staples,Aashirvaad,4,Kirana,211.0,123.0,177.66666666666666,47.72141378179542
2019-10-01,1,29,226,289,226,289,1,10,18.0,18.0,1,244.0,Snacks,Bingo,4,Kirana,272.0,230.0,248.66666666666666,21.385353243127252
2019-12-01,1,29,263,257,149,371,0,12,31.0,31.0,0,180.0,Snacks,Bingo,4,Kirana,244.0,272.0,232.0,47.15930449020638
2020-02-01,1,29,157,414,157,414,1,2,42.0,42.0,1,199.0,Snacks,Bingo,4,Kirana,180.0,244.0,207.66666666666666,32.86842456421258
2019-09-01,1,30,223,451,199,475,0,9,5.0,5.0,0,204.0,Snacks,Bingo,4,Kirana,148.0,171.0,174.33333333333334,28.148416178061122
2020-01-01,1,30,317,393,209,501,0,1,6.0,6.0,0,215.0,Snacks,Bingo,4,Kirana,204.0,148.0,189.0,35.93048844644336
2020-07-01,1,30,216,338,216,338,1,7,13.0,13.0,1,229.0,Snacks,Bingo,4,Kirana,215.0,204.0,216.0,12.529964086141659
2020-10-01,1,30,291,247,291,247,1,10,22.0,22.0,1,313.0,Snacks,Bingo,4,Kirana,229.0,215.0,252.33333333333334,53.00314456080255
2019-12-01,1,31,268,280,268,280,1,12,15.0,15.0,1,283.0,Biscuits,Parle,4,Kirana,315.0,183.0,260.3333333333333,68.85734044626858
2020-04-01,1,32,375,0,247,128,0,4,26.0,26.0,0,273.0,Biscuits,Parle,4,Kirana,242.0,309.0,274.6666666666667,33.53108010985231
2020-05-01,1,32,198,269,162,305,0,5,9.0,9.0,0,171.0,Biscuits,Parle,4,Kirana,273.0,242.0,228.66666666666666,52.290853247325515
2020-06-01,1,32,315,310,291,334,0,6,9.0,9.0,0,300.0,Biscuits,Parle,4,Kirana,171.0,273.0,248.0,68.03675477269621
2020-01-01,1,33,235,485,235,485,1,1,15.0,15.0,1,250.0,Home Care,Surf Excel,4,Kirana,158.0,156.0,188.0,53.70288632839021
2019-07-01,1,34,192,276,92,376,0,7,14.0,14.0,0,106.0,Home Care,Vim,4,Kirana,275.0,228.0,203.0,87.22958213817145
2020-06-01,1,36,388,0,253,135,0,6,10.0,10.0,0,263.0,Biscuits,Parle,4,Kirana,279.0,118.0,220.0,88.69611039949835
2020-07-01,1,36,248,364,197,415,0,7,11.0,11.0,0,208.0,Biscuits,Parle,4,Kirana,263.0,279.0,250.0,37.242448899072144
2020-05-01,1,40,380,276,316,340,0,5,13.0,13.0,0,329.0,Home Care,Rin,4,Kirana,347.0,126.0,267.3333333333333,122.72869808375437
2019-10-01,1,41,399,0,219,180,0,10,7.0,7.0,0,226.0,Edible Oil,Fortune,4,Kirana,288.0,292.0,268.6666666666667,37.00450423034112
2019-11-01,1,41,324,427,311,440,0,11,13.0,13.0,0,324.0,Edible Oil,Fortune,4,Kirana,226.0,288.0,279.3333333333333,49.57149718672349
2019-12-01,1,41,382,0,83,299,0,12,18.0,18.0,0,101.0,Edible Oil,Fortune,4,Kirana,324.0,226.0,217.0,111.77208953938367
2019-04-01,1,43,391,0,242,149,0,4,9.0,9.0,0,251.0,Beverages,Pepsi,4,Kirana,146.0,141.0,179.33333333333334,62.11548384528074
2019-05-01,1,43,173,406,123,456,0,5,20.0,20.0,0,143.0,Beverages,Pepsi,4,Kirana,251.0,146.0,180.0,61.50609725872712
2019-06-01,1,43,276,0,123,153,0,6,22.0,22.0,0,145.0,Beverages,Pepsi,4,Kirana,143.0,251.0,179.66666666666666,61.78457196852085
2019-08-01,1,43,301,0,87,214,0,8,5.0,5.0,0,92.0,Beverages,Pepsi,4,Kirana,145.0,143.0,126.66666666666667,30.038863715748832
2020-02-01,1,43,201,324,168,357,0,2,8.0,8.0,0,176.0,Beverages,Pepsi,4,Kirana,92.0,145.0,137.66666666666666,42.47744499535409
2020-04-01,1,43,234,224,234,224,1,4,12.0,12.0,1,246.0,Beverages,Pepsi,4,Kirana,176.0,92.0,171.33333333333334,77.10598766200542
2020-06-01,1,43,392,416,290,518,0,6,22.0,22.0,0,312.0,Beverages,Pepsi,4,Kirana,246.0,176.0,244.66666666666666,68.00980321492874
2020-02-01,1,44,241,409,241,409,1,2,12.0,12.0,1,253.0,Staples,Tata,4,Kirana,189.0,191.0,211.0,36.38681079732051
2020-04-01,1,44,313,245,311,247,0,4,11.0,11.0,0,322.0,Staples,Tata,4,Kirana,253.0,189.0,254.66666666666666,66.51566231597889
2020-07-01,1,44,322,0,187,135,0,7,16.0,16.0,0,203.0,Staples,Tata,4,Kirana,322.0,253.0,259.3333333333333,59.752266344744896
2020-08-01,1,45,342,0,176,166,0,8,7.0,7.0,0,183.0,Biscuits,Parle,4,Kirana,130.0,227.0,180.0,48.569537778323564
2020-09-01,1,45,332,305,264,373,0,9,20.0,20.0,0,284.0,Biscuits,Parle,4,Kirana,183.0,130.0,199.0,78.2368199762746
2020-11-01,1,45,280,0,134,146,0,11,23.0,23.0,0,157.0,Biscuits,Parle,4,Kirana,284.0,183.0,208.0,67.08949247087803
2019-04-01,1,46,168,221,168,221,1,4,18.0,18.0,1,186.0,Dairy,Mother Dairy,4,Kirana,152.0,209.0,182.33333333333334,28.676354952004157
2020-05-01,1,46,337,0,120,217,0,5,8.0,8.0,0,128.0,Dairy,Mother Dairy,4,Kirana,186.0,152.0,155.33333333333334,29.14332399252586
2020-06-01,1,47,369,0,154,215,0,6,36.0,36.0,0,190.0,Dairy,Amul,4,Kirana,98.0,253.0,180.33333333333334,77.95083920865338
2019-11-01,1,48,353,0,167,186,0,11,4.0,4.0,0,171.0,Beverages,Coca-Cola,4,Kirana,190.0,161.0,174.0,14.730919862656235
2019-11-01,1,49,331,0,88,243,0,11,12.0,12.0,0,100.0,Edible Oil,Saffola,4,Kirana,298.0,284.0,227.33333333333334,110.49585210917799
2019-08-01,1,50,288,0,166,122,0,8,7.0,7.0,0,173.0,Beverages,Coca-Cola,4,Kirana,202.0,193.0,189.33333333333334,14.843629385474884
2020-11-01,1,50,383,0,126,257,0,11,1.0,1.0,0,127.0,Beverages,Coca-Cola,4,Kirana,173.0,202.0,167.33333333333334,37.81974792794545
2019-09-01,1,51,238,0,98,140,0,9,5.0,5.0,0,103.0,Biscuits,Sunfeast,4,Kirana,154.0,295.0,184.0,99.45350672550465
2019-10-01,1,51,331,296,271,356,0,10,25.0,25.0,0,296.0,Biscuits,Sunfeast,4,Kirana,103.0,154.0,184.33333333333334,100.0116659861905
2020-02-01,1,51,280,473,194,559,0,2,12.0,12.0,0,206.0,Biscuits,Sunfeast,4,Kirana,296.0,103.0,201.66666666666666,96.57294307068275
2020-08-01,1,52,329,214,316,227,0,8,12.0,12.0,0,328.0,Personal Care,Dove,4,Kirana,112.0,176.0,205.33333333333334,110.94743500114517
2019-07-01,1,53,390,0,128,262,0,7,2.0,2.0,0,130.0,Personal Care,Dove,4,Kirana,143.0,245.0,172.66666666666666,62.97883242275402
2020-01-01,1,53,348,0,97,251,0,1,17.0,17.0,0,114.0,Personal Care,Dove,4,Kirana,130.0,143.0,129.0,14.52583904633392
2019-08-01,1,56,370,0,92,278,0,8,14.0,14.0,0,106.0,Staples,Aashirvaad,4,Kirana,179.0,150.0,145.0,36.75595189897821
2020-09-01,1,56,394,0,136,258,0,9,10.0,10.0,0,146.0,Staples,Aashirvaad,4,Kirana,106.0,179.0,143.66666666666666,36.555893277737496
2019-08-01,1,58,288,0,147,141,0,8,12.0,12.0,0,159.0,Home Care,Rin,4,Kirana,284.0,215.0,219.33333333333334,62.61256529909419
2019-11-01,1,58,245,219,196,268,0,11,4.0,4.0,0,200.0,Home Care,Rin,4,Kirana,159.0,284.0,214.33333333333334,63.72074492136242
2020-05-01,1,59,249,440,134,555,0,5,4.0,4.0,0,138.0,Biscuits,Parle,4,Kirana,127.0,209.0,158.0,44.50842616853577
2020-08-01,1,59,186,293,186,293,1,8,27.0,27.0,1,213.0,Biscuits,Parle,4,Kirana,138.0,127.0,159.33333333333334,46.800997140374406
2020-11-01,1,59,248,256,248,256,1,11,31.0,31.0,1,279.0,Biscuits,Parle,4,Kirana,213.0,138.0,210.0,70.54785609782908
2019-10-01,1,61,270,275,221,324,0,10,13.0,13.0,0,234.0,Snacks,Haldirams,4,Kirana,271.0,187.0,230.66666666666666,42.099089459670424
2019-11-01,1,61,197,428,156,469,0,11,8.0,8.0,0,164.0,Snacks,Haldirams,4,Kirana,234.0,271.0,223.0,54.3415126767741
2020-02-01,1,61,382,0,164,218,0,2,7.0,7.0,0,171.0,Snacks,Haldirams,4,Kirana,164.0,234.0,189.66666666666666,38.552993831002716
2020-03-01,1,61,306,0,95,211,0,3,12.0,12.0,0,107.0,Snacks,Haldirams,4,Kirana,171.0,164.0,147.33333333333334,35.10460558578223
2020-04-01,1,61,221,384,167,438,0,4,22.0,22.0,0,189.0,Snacks,Haldirams,4,Kirana,107.0,171.0,155.66666666666666,43.096790290383964
2020-07-01,1,61,369,243,333,279,0,7,7.0,7.0,0,340.0,Snacks,Haldirams,4,Kirana,189.0,107.0,212.0,118.1905241548577
2020-08-01,1,61,212,270,212,270,1,8,12.0,12.0,1,224.0,Snacks,Haldirams,4,Kirana,340.0,189.0,251.0,79.03796556086195
2019-11-01,1,62,288,0,90,198,0,11,16.0,16.0,0,106.0,Snacks,Lays,4,Kirana,239.0,96.0,147.0,79.83107164506812
2020-01-01,1,62,201,431,201,431,0,1,3.0,3.0,0,204.0,Snacks,Lays,4,Kirana,106.0,239.0,183.0,68.94200461257273
2020-04-01,1,62,246,471,246,471,1,4,19.0,19.0,1,265.0,Snacks,Lays,4,Kirana,204.0,106.0,191.66666666666666,80.21429631514157
2019-11-01,1,64,241,299,172,368,0,11,43.0,43.0,0,215.0,Snacks,Bingo,4,Kirana,146.0,306.0,222.33333333333334,80.25168741735799
2020-01-01,1,64,247,0,116,131,0,1,10.0,10.0,0,126.0,Snacks,Bingo,4,Kirana,215.0,146.0,162.33333333333334,46.694039591079864
2020-02-01,1,64,177,301,177,301,1,2,17.0,17.0,1,194.0,Snacks,Bingo,4,Kirana,126.0,215.0,178.33333333333334,46.52239604033022
2020-08-01,1,64,275,308,171,412,0,8,34.0,34.0,0,205.0,Snacks,Bingo,4,Kirana,194.0,126.0,175.0,42.790185790669334
2020-02-01,1,65,374,0,144,230,0,2,2.0,2.0,0,146.0,Beverages,Pepsi,4,Kirana,187.0,294.0,209.0,76.41334961902926
2020-07-01,1,65,237,0,89,148,0,7,11.0,11.0,0,100.0,Beverages,Pepsi,4,Kirana,146.0,187.0,144.33333333333334,43.52393977265079
2020-09-01,1,65,296,0,161,135,0,9,17.0,17.0,0,178.0,Beverages,Pepsi,4,Kirana,100.0,146.0,141.33333333333334,39.20884254008697
2020-05-01,1,66,159,431,98,492,0,5,13.0,13.0,0,111.0,Biscuits,Sunfeast,4,Kirana,184.0,227.0,174.0,58.642987645583
2020-06-01,1,66,351,448,294,505,0,6,24.0,24.0,0,318.0,Biscuits,Sunfeast,4,Kirana,111.0,184.0,204.33333333333334,104.98730081935307
2020-11-01,1,67,236,239,148,327,0,11,16.0,16.0,0,164.0,Personal Care,Lux,4,Kirana,248.0,324.0,245.33333333333334,80.0333263917809
2020-10-01,1,68,178,443,142,479,0,10,27.0,27.0,0,169.0,Beverages,Coca-Cola,4,Kirana,110.0,191.0,156.66666666666666,41.88476254359494
2019-07-01,1,69,157,400,117,440,0,7,8.0,8.0,0,125.0,Staples,Aashirvaad,4,Kirana,220.0,122.0,155.66666666666666,55.73448962117921
2019-08-01,1,69,168,318,168,318,1,8,27.0,27.0,1,195.0,Staples,Aashirvaad,4,Kirana,125.0,220.0,180.0,49.24428900898052
2019-12-01,1,69,271,328,271,328,1,12,11.0,11.0,1,282.0,Staples,Aashirvaad,4,Kirana,195.0,125.0,200.66666666666666,78.65324744302255
2020-05-01,1,69,342,0,111,231,0,5,4.0,4.0,0,115.0,Staples,Aashirvaad,4,Kirana,282.0,195.0,197.33333333333334,83.52444751887518
2019-07-01,1,72,346,0,163,183,0,7,37.0,37.0,0,200.0,Snacks,Bingo,4,Kirana,212.0,154.0,188.66666666666666,30.61590000854676
2020-08-01,1,72,296,0,160,136,0,8,32.0,32.0,0,192.0,Snacks,Bingo,4,Kirana,283.0,159.0,211.33333333333334,64.22097269065094
2020-03-01,1,73,236,289,171,354,0,3,25.0,25.0,0,196.0,Beverages,Coca-Cola,4,Kirana,180.0,235.0,203.66666666666666,28.29016319029166
2020-04-01,1,73,216,415,154,477,0,4,5.0,5.0,0,159.0,Beverages,Coca-Cola,4,Kirana,196.0,180.0,178.33333333333334,18.55622087962237
2019-08-01,1,74,317,327,294,350,0,8,18.0,18.0,0,312.0,Biscuits,Britannia,4,Kirana,230.0,116.0,219.33333333333334,98.43441132720474
2019-09-01,1,74,314,221,230,305,0,9,23.0,23.0,0,253.0,Biscuits,Britannia,4,Kirana,312.0,230.0,265.0,42.29657196511318
2019-10-01,1,74,384,0,254,130,0,10,23.0,23.0,0,277.0,Biscuits,Britannia,4,Kirana,253.0,312.0,280.6666666666667,29.670411748631523
2020-09-01,1,75,363,205,320,248,0,9,5.0,5.0,0,325.0,Dairy,Nandini,4,Kirana,110.0,103.0,179.33333333333334,126.19957738967804
2019-11-01,1,76,290,224,228,286,0,11,6.0,6.0,0,234.0,Snacks,Lays,4,Kirana,135.0,197.0,188.66666666666666,50.02332789142815
2020-10-01,1,76,351,0,203,148,0,10,25.0,25.0,0,228.0,Snacks,Lays,4,Kirana,234.0,135.0,199.0,55.506756345511675
2019-07-01,1,77,387,0,253,134,0,7,17.0,17.0,0,270.0,Snacks,Lays,4,Kirana,239.0,268.0,259.0,17.349351572897472
2020-01-01,1,77,233,257,233,257,1,1,12.0,12.0,1,245.0,Snacks,Lays,4,Kirana,270.0,239.0,251.33333333333334,16.441816606851365
2020-04-01,1,77,352,386,281,457,0,4,23.0,23.0,0,304.0,Snacks,Lays,4,Kirana,245.0,270.0,273.0,29.614185789921695
2020-05-01,1,77,167,221,167,221,1,5,22.0,22.0,1,189.0,Snacks,Lays,4,Kirana,304.0,245.0,246.0,57.5065213693195
2020-07-01,1,77,209,255,105,359,0,7,17.0,17.0,0,122.0,Snacks,Lays,4,Kirana,189.0,304.0,205.0,92.04890004774636
2020-03-01,1,78,193,282,193,282,1,3,21.0,21.0,1,214.0,Dairy,Nandini,4,Kirana,239.0,233.0,228.66666666666666,13.051181300301257
2020-09-01,1,78,176,412,122,466,0,9,12.0,12.0,0,134.0,Dairy,Nandini,4,Kirana,214.0,239.0,195.66666666666666,54.84827557301445
2020-11-01,1,78,316,233,276,273,0,11,16.0,16.0,0,292.0,Dairy,Nandini,4,Kirana,134.0,214.0,213.33333333333334,79.00210967647213
2019-12-01,1,79,226,331,226,331,1,12,3.0,3.0,1,229.0,Biscuits,Parle,4,Kirana,313.0,166.0,236.0,73.74957626996917
2020-02-01,1,79,275,468,222,521,0,2,4.0,4.0,0,226.0,Biscuits,Parle,4,Kirana,229.0,313.0,256.0,49.38623289946298
2019-11-01,1,81,257,472,257,472,1,11,28.0,28.0,1,285.0,Biscuits,Parle,4,Kirana,162.0,137.0,194.66666666666666,79.22331306713532
2020-02-01,1,85,183,448,183,448,1,2,14.0,14.0,1,197.0,Beverages,Pepsi,4,Kirana,208.0,183.0,196.0,12.529964086141668
2020-06-01,1,85,360,0,156,204,0,6,8.0,8.0,0,164.0,Beverages,Pepsi,4,Kirana,197.0,208.0,189.66666666666666,22.898325994127458
2020-07-01,1,85,243,204,228,219,0,7,8.0,8.0,0,236.0,Beverages,Pepsi,4,Kirana,164.0,197.0,199.0,36.04164258188019
2019-11-01,1,88,312,394,234,472,0,11,38.0,38.0,0,272.0,Snacks,Haldirams,4,Kirana,119.0,138.0,176.33333333333334,83.39264555902596
2020-07-01,1,88,224,342,205,361,0,7,14.0,14.0,0,219.0,Snacks,Haldirams,4,Kirana,272.0,119.0,203.33333333333334,77.69384359994898
2020-01-01,1,89,255,209,255,209,1,1,24.0,24.0,1,279.0,Edible Oil,Fortune,4,Kirana,215.0,180.0,224.66666666666666,50.20292156173119
2020-06-01,1,89,390,0,207,183,0,6,26.0,26.0,0,233.0,Edible Oil,Fortune,4,Kirana,279.0,215.0,242.33333333333334,33.005050118630855
2020-09-01,1,89,334,308,327,315,0,9,12.0,12.0,0,339.0,Edible Oil,Fortune,4,Kirana,233.0,279.0,283.6666666666667,53.15386470740706
2020-10-01,1,89,276,0,122,154,0,10,18.0,18.0,0,140.0,Edible Oil,Fortune,4,Kirana,339.0,233.0,237.33333333333334,99.5707453689754
2020-09-01,1,90,197,499,197,499,1,9,4.0,4.0,1,201.0,Home Care,Vim,4,Kirana,104.0,182.0,162.33333333333334,51.40363151892416
2020-11-01,1,90,169,318,169,318,1,11,12.0,12.0,1,181.0,Home Care,Vim,4,Kirana,201.0,104.0,162.0,51.21523210920751
2020-06-01,1,91,197,316,102,411,0,6,8.0,8.0,0,110.0,Home Care,Vim,4,Kirana,201.0,162.0,157.66666666666666,45.6544995956952
2020-09-01,1,91,255,306,255,306,1,9,1.0,1.0,1,256.0,Home Care,Vim,4,Kirana,110.0,201.0,189.0,73.7360156233031
2020-03-01,1,92,163,440,163,440,1,3,13.0,13.0,1,176.0,Biscuits,Parle,4,Kirana,148.0,331.0,218.33333333333334,98.57146307797878
2020-06-01,1,92,228,301,228,301,1,6,18.0,18.0,1,246.0,Biscuits,Parle,4,Kirana,176.0,148.0,190.0,50.477717856495865
2020-09-01,1,93,306,0,176,130,0,9,12.0,12.0,0,188.0,Beverages,Pepsi,4,Kirana,232.0,208.0,209.33333333333334,22.030282189144412
2019-10-01,1,94,192,491,173,510,0,10,25.0,25.0,0,198.0,Personal Care,Dove,4,Kirana,162.0,202.0,187.33333333333334,22.030282189144405
2020-04-01,1,94,165,350,165,350,1,4,16.0,16.0,1,181.0,Personal Care,Dove,4,Kirana,198.0,162.0,180.33333333333334,18.009256878986797
2020-08-01,1,94,228,294,226,296,0,8,13.0,13.0,0,239.0,Personal Care,Dove,4,Kirana,181.0,198.0,206.0,29.816103031751148
2020-09-01,1,94,204,306,125,385,0,9,29.0,29.0,0,154.0,Personal Care,Dove,4,Kirana,239.0,181.0,191.33333333333334,43.43193909248508
2020-11-01,1,94,364,0,184,180,0,11,35.0,35.0,0,219.0,Personal Care,Dove,4,Kirana,154.0,239.0,204.0,44.44097208657794
2019-06-01,1,95,177,433,103,507,0,6,0.0,0.0,0,103.0,Snacks,Bingo,4,Kirana,131.0,177.0,137.0,37.36308338453881
2020-03-01,1,95,173,484,148,509,0,3,9.0,9.0,0,157.0,Snacks,Bingo,4,Kirana,103.0,131.0,130.33333333333334,27.00617213403879
2020-06-01,1,95,205,455,205,455,1,6,11.0,11.0,1,216.0,Snacks,Bingo,4,Kirana,157.0,103.0,158.66666666666666,56.51843357112203
2020-10-01,1,95,169,319,169,319,1,10,8.0,8.0,1,177.0,Snacks,Bingo,4,Kirana,216.0,157.0,183.33333333333334,30.00555504124752
2020-09-01,1,96,390,442,285,547,0,9,23.0,23.0,0,308.0,Dairy,Mother Dairy,4,Kirana,203.0,263.0,258.0,52.67826876426369
2019-04-01,1,98,387,0,83,304,0,4,16.0,16.0,0,99.0,Beverages,Pepsi,4,Kirana,266.0,86.0,150.33333333333334,100.38094108611124
2020-05-01,1,101,322,0,163,159,0,5,8.0,8.0,0,171.0,Personal Care,Dove,4,Kirana,182.0,159.0,170.66666666666666,11.503622617824933
2020-07-01,1,101,191,249,109,331,0,7,8.0,8.0,0,117.0,Personal Care,Dove,4,Kirana,171.0,182.0,156.66666666666666,34.78984526170436
2019-09-01,1,102,243,323,243,323,1,9,28.0,28.0,1,271.0,Snacks,Lays,4,Kirana,250.0,192.0,237.66666666666666,40.91861841916627
2019-11-01,1,102,160,441,145,456,0,11,47.0,47.0,0,192.0,Snacks,Lays,4,Kirana,271.0,250.0,237.66666666666666,40.91861841916627
2019-12-01,1,102,323,0,136,187,0,12,8.0,8.0,0,144.0,Snacks,Lays,4,Kirana,192.0,271.0,202.33333333333334,64.12747721011122
2020-10-01,1,102,378,0,155,223,0,10,81.0,81.0,0,236.0,Snacks,Lays,4,Kirana,144.0,192.0,190.66666666666666,46.014490471299744
2019-08-01,1,104,284,464,284,464,1,8,21.0,21.0,1,305.0,Dairy,Nandini,4,Kirana,120.0,160.0,195.0,97.33961166965892
2019-12-01,1,104,283,380,282,381,0,12,11.0,11.0,0,293.0,Dairy,Nandini,4,Kirana,305.0,120.0,239.33333333333334,103.51972436851507
2020-11-01,1,104,167,470,110,527,0,11,20.0,20.0,0,130.0,Dairy,Nandini,4,Kirana,293.0,305.0,242.66666666666666,97.75650021013094
2019-06-01,1,105,287,341,287,341,1,6,30.0,30.0,1,317.0,Beverages,Pepsi,4,Kirana,197.0,207.0,240.33333333333334,66.58328118479393
2019-10-01,1,105,182,352,112,422,0,10,10.0,10.0,0,122.0,Beverages,Pepsi,4,Kirana,317.0,197.0,212.0,98.36157786453
2020-02-01,1,105,352,0,151,201,0,2,10.0,10.0,0,161.0,Beverages,Pepsi,4,Kirana,122.0,317.0,200.0,103.18430113151904
