product_id,category,mrp,cost_price
142,Pulses,213,160
143,Personal Care,98,123
144,Pulses,63,209
145,Sugar,291,229
146,Biscuits,82,236
147,Dairy,234,244
148,Sugar,155,130
149,Rice,264,123
150,Edible Oil,72,79
151,Sugar,269,190
152,Personal Care,140,223
153,Personal Care,278,119
154,Sugar,180,87
155,Snacks,212,152
156,Edible Oil,124,139
157,Rice,37,56
158,Sugar,213,91
159,Snacks,224,146
160,Personal Care,224,125
161,Personal Care,184,111
162,Biscuits,122,50
163,Sugar,189,141
164,Edible Oil,90,156
165,Atta,151,70
166,Edible Oil,80,48
167,Personal Care,34,225
168,Personal Care,121,59
169,Pulses,199,60
170,Personal Care,51,233
171,Rice,30,30
172,Beverages,162,170
173,Sugar,262,20
174,Edible Oil,41,65
175,Beverages,75,120
176,Snacks,63,168
177,Atta,107,109
178,Rice,247,129
179,Home Care,102,183
180,Edible Oil,278,201
181,Beverages,76,234
182,Atta,150,76
183,Pulses,243,20
184,Rice,268,82
185,Rice,85,201
186,Pulses,136,74
187,Home Care,77,134
188,Sugar,90,187
189,Pulses,55,162
190,Rice,286,168
191,Rice,37,194
192,Beverages,142,220
193,Personal Care,282,72
194,Home Care,209,156
195,Atta,236,221
196,Pulses,156,199
197,Atta,85,76
198,Pulses,243,136
199,Snacks,43,173
200,Rice,57,188
201,Personal Care,107,54
202,Beverages,245,82
203,Personal Care,183,44
204,Personal Care,43,109
205,Personal Care,216,94
206,Atta,36,57
207,Pulses,32,149
208,Dairy,140,154
209,Snacks,267,229
210,Edible Oil,268,238
211,Personal Care,256,181
212,Sugar,44,110
213,Atta,221,36
214,Home Care,148,147
215,Beverages,57,190
216,Edible Oil,231,206
217,Dairy,68,127
218,Sugar,260,198
219,Dairy,115,201
220,Edible Oil,155,171
221,Personal Care,54,44
222,Sugar,174,218
223,Dairy,42,199
224,Beverages,241,217
225,Pulses,54,107
226,Rice,97,180
227,Pulses,96,196
228,Edible Oil,262,48
229,Atta,138,82
230,Rice,175,169
231,Snacks,140,173
232,Beverages,257,175
233,Snacks,140,133
234,Sugar,63,232
235,Rice,140,68
236,Snacks,293,218
237,Snacks,265,100
238,Dairy,112,103
239,Pulses,71,124
240,Dairy,130,196
241,Rice,35,167
242,Rice,209,137
243,Edible Oil,255,105
244,Dairy,258,239
245,Biscuits,179,82
246,Home Care,227,208
247,Pulses,99,123
248,Rice,141,68
249,Edible Oil,33,90
250,Dairy,124,20
251,Pulses,181,243
252,Dairy,166,160
253,Snacks,276,241
254,Edible Oil,272,234
255,Pulses,60,198
256,Personal Care,69,142
257,Sugar,258,203
258,Sugar,65,230
259,Pulses,252,81
260,Dairy,35,51
261,Edible Oil,249,177
262,Home Care,104,48
263,Sugar,33,68
264,Edible Oil,163,192
265,Sugar,147,240
266,Snacks,123,49
267,Dairy,91,163
268,Snacks,223,187
269,Sugar,232,38
270,Personal Care,55,37
271,Personal Care,202,20
272,Snacks,162,97
273,Personal Care,147,134
274,Sugar,241,194
275,Pulses,254,213
276,Snacks,49,239
277,Home Care,142,132
278,Home Care,169,133
279,Atta,76,241
280,Dairy,30,185
281,Personal Care,119,198
282,Personal Care,171,82
283,Rice,67,151
284,Biscuits,168,148
285,Snacks,288,27
286,Beverages,190,176
287,Personal Care,207,74
288,Dairy,39,122
289,Atta,290,150
290,Home Care,167,51
291,Personal Care,201,29
292,Atta,42,221
293,Sugar,197,230
294,Sugar,159,129
295,Biscuits,113,181
296,Pulses,130,143
297,Beverages,294,244
298,Rice,67,106
299,Biscuits,123,74
300,Edible Oil,124,239
